Job Title,Job Title Group
A/V Media Advisor,Public Information
A/V Media Assistant,Public Information
A/V Media Officer,Public Information
Accounts Advisor,Finance/Budget
Accounts Assistant,Finance/Budget
Accounts Officer,Finance/Budget
Admin/Finance Advisor,Admin/Finance
Admin/Finance Assistant,Admin/Finance
Admin/Finance Officer,Admin/Finance
Administrative Advisor,Administrative
Administrative Assistant,Administrative
Administrative Officer,Administrative
Adolescent Rep Health Advisor,Health
Economics Advisor,Socio-economic
Economics Assistant,Socio-economic
Economics Officer,Socio-economic
Air Conditioning Technician,Logistics
Air Operations Assistant,Logistics
Air Operations Officer,Logistics
Architect Advisor,Engineering
Architect Assistant,Engineering
Architect Officer,Engineering
Archivist,Administrative
Artist,Others
Asset Management Advisor,Administrative
Asset Management Assistant,Administrative
Asset Management Officer,Administrative
Associate Portfolio Manager,Programme management
Audit Officer,Programme management
Energy &Environment Advisor,Energy & Environment
Energy &Environment Assistant,Energy & Environment
Energy &Environment Officer,Energy & Environment
Agriculture Advisor,Energy & Environment
Budget Advisor,Finance/Budget
Budget Assistant,Finance/Budget
Budget Officer,Finance/Budget
CAD Operator,Engineering
Agriculture Assistant,Energy & Environment
Capacity Building Advisor,Education
Capacity Building Assistant,Education
Capacity Building Officer,Education
Cashier,Finance/Budget
Chief Technical Advisor,Others
Agriculture Officer,Energy & Environment
Biodiversity Advisor,Energy & Environment
Biodiversity Assistant,Energy & Environment
Co-Financing Officer,Finance/Budget
Communications Advisor,Communications
Communications Analyst,Communications
Communications Assistant,Communications
Communications Officer,Communications
Communications Specialist,Communications
Communications Technician,Communications
Community Develop Advisor,Community Develop
Community Develop Assistant,Community Develop
Community Develop Officer,Community Develop
Conflict Resolution Officer,Disaster Management
Construction Officer,Engineering
Contracts Advisor,Administrative
Contracts Assistant,Administrative
Contracts Officer,Administrative
Coordinator,Project Management
Crisis Prev & Recov Advisor,Disaster Management
Crisis Prev & Recov Assistant,Disaster Management
Crisis Prev & Recov Officer,Disaster Management
Biodiversity Officer,Energy & Environment
Data Entry Assistant,Clerical services
Data Entry Clerk,Clerical services
Data Management Clerk,Clerical services
DDR Officer,Others
Democratic Govern Advisor,Political Affairs
Democratic Govern Assistant,Political Affairs
Democratic Govern Officer,Political Affairs
BOI Officer (Board of Inquiry),Energy & Environment
Dentist,Health
Deputy Director,Administrative
Disaster Management Assistant,Disaster Management
Disaster Management Officer,Disaster Management
Cultural Heritage Officer,Energy & Environment
Environment Advisor,Energy & Environment
Documents Advisor,Administrative
Documents Officer,Administrative
Environment Assistant,Energy & Environment
Environment Officer,Energy & Environment
Driver,Logistics
Meteorologist,Energy & Environment
